Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\10%5mm.t6d

Temperature (°„C)	Weight % (%)
28.12	100.021
28.12	100.000
28.12	100.010
28.12	100.010
28.12	100.000
28.12	100.028
28.13	100.035
28.15	100.028
28.17	100.035
28.21	100.028
28.25	100.024
28.31	100.031
28.37	100.035
28.44	100.028
28.52	100.035
28.61	100.045
28.72	100.042
28.85	100.049
28.98	100.055
29.14	100.052
29.31	100.055
29.49	100.066
29.68	100.063
29.88	100.073
30.09	100.080
30.31	100.076
30.54	100.080
30.77	100.083
31.01	100.073
31.26	100.076
31.51	100.087
31.77	100.080
32.03	100.080
32.30	100.094
32.57	100.090
32.85	100.094
33.13	100.097
33.41	100.094
33.70	100.097
33.99	100.108
34.28	100.104
34.58	100.104
34.87	100.118
35.17	100.114
35.48	100.114
35.78	100.118
36.09	100.118
36.39	100.118
36.70	100.121
37.01	100.118
37.32	100.114
37.63	100.118
37.95	100.118
38.26	100.118
38.58	100.125
38.90	100.135
39.22	100.135
39.54	100.139
39.86	100.139
40.18	100.135
40.51	100.132
40.83	100.135
41.16	100.132
41.49	100.135
41.82	100.135
42.14	100.135
42.47	100.139
42.80	100.142
43.13	100.135
43.46	100.139
43.79	100.142
44.12	100.146
44.45	100.149
44.78	100.146
45.11	100.142
45.45	100.146
45.78	100.153
46.11	100.153
46.44	100.156
46.78	100.163
47.11	100.160
47.45	100.160
47.78	100.163
48.12	100.160
48.45	100.160
48.78	100.163
49.12	100.163
49.46	100.163
49.80	100.160
50.14	100.153
50.47	100.153
50.81	100.153
51.15	100.160
51.48	100.160
51.82	100.156
52.16	100.149
52.49	100.149
52.83	100.156
53.17	100.163
53.51	100.166
53.85	100.170
54.19	100.170
54.53	100.170
54.87	100.177
55.21	100.173
55.55	100.163
55.89	100.170
56.23	100.166
56.57	100.160
56.91	100.160
57.26	100.160
57.60	100.163
57.94	100.166
58.28	100.173
58.62	100.170
58.97	100.166
59.31	100.166
59.65	100.163
59.99	100.160
60.33	100.163
60.68	100.166
61.02	100.163
61.36	100.163
61.70	100.160
62.04	100.166
62.38	100.163
62.73	100.163
63.07	100.160
63.41	100.153
63.75	100.160
64.09	100.146
64.43	100.142
64.77	100.142
65.11	100.142
65.45	100.142
65.79	100.139
66.14	100.132
66.48	100.132
66.83	100.139
67.17	100.142
67.51	100.146
67.85	100.149
68.20	100.146
68.54	100.135
68.88	100.132
69.23	100.139
69.57	100.146
69.91	100.146
70.26	100.146
70.60	100.149
70.94	100.139
71.29	100.128
71.63	100.125
71.97	100.128
72.31	100.121
72.66	100.118
73.00	100.125
73.34	100.128
73.69	100.125
74.03	100.114
74.37	100.118
74.71	100.114
75.06	100.114
75.40	100.121
75.74	100.125
76.09	100.132
76.43	100.139
76.77	100.132
77.11	100.125
77.45	100.121
77.79	100.118
78.13	100.114
78.48	100.118
78.82	100.114
