Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\20%10mm.t6d

Temperature (°„C)	Weight % (%)
28.38	100.017
28.38	100.010
28.39	99.993
28.38	100.007
28.38	100.007
28.39	100.000
28.39	100.027
28.40	100.024
28.42	100.003
28.45	100.017
28.49	100.010
28.54	100.003
28.59	100.024
28.65	100.027
28.72	100.017
28.80	100.034
28.90	100.038
29.02	100.031
29.15	100.048
29.29	100.045
29.45	100.027
29.63	100.051
29.80	100.048
30.00	100.027
30.20	100.041
30.41	100.051
30.64	100.041
30.87	100.051
31.11	100.045
31.36	100.038
31.61	100.051
31.87	100.062
32.13	100.058
32.39	100.065
32.66	100.069
32.94	100.065
33.21	100.072
33.49	100.072
33.78	100.058
34.07	100.058
34.36	100.055
34.66	100.045
34.96	100.051
35.26	100.041
35.56	100.041
35.87	100.058
36.17	100.065
36.48	100.065
36.79	100.069
37.11	100.065
37.42	100.058
37.73	100.062
38.05	100.062
38.36	100.051
38.67	100.058
38.99	100.058
39.30	100.051
39.62	100.055
39.94	100.048
40.26	100.045
40.58	100.048
40.91	100.048
41.23	100.051
41.56	100.058
41.88	100.055
42.20	100.051
42.53	100.065
42.86	100.065
43.19	100.065
43.52	100.075
43.86	100.082
44.19	100.079
44.52	100.082
44.85	100.079
45.18	100.069
45.52	100.072
45.85	100.069
46.19	100.065
46.52	100.062
46.85	100.058
47.19	100.045
47.52	100.041
47.85	100.045
48.19	100.041
48.52	100.048
48.86	100.041
49.19	100.041
49.53	100.038
49.86	100.034
50.20	100.038
50.54	100.045
50.87	100.045
51.21	100.038
51.55	100.034
51.89	100.027
52.23	100.027
52.57	100.034
52.91	100.031
53.25	100.027
53.59	100.027
53.93	100.024
54.27	100.024
54.61	100.017
54.95	100.017
55.29	100.014
55.63	100.017
55.97	100.017
56.31	100.017
56.65	100.020
56.99	100.024
57.33	100.020
57.67	100.020
58.01	100.020
58.35	100.027
58.69	100.024
59.02	100.024
59.37	100.020
59.71	100.014
60.05	100.010
60.39	100.000
60.73	99.996
61.07	100.003
61.41	100.003
61.75	100.007
62.09	100.010
62.43	100.014
62.77	100.003
63.11	100.000
63.46	99.990
63.80	99.993
64.14	99.996
64.49	99.996
64.83	99.993
65.17	99.990
65.51	99.986
65.86	99.983
66.20	99.983
66.54	99.986
66.88	99.990
67.22	99.983
67.57	99.973
67.91	99.979
68.25	99.979
68.59	99.976
68.92	99.973
69.26	99.966
69.60	99.966
69.95	99.966
70.28	99.962
70.63	99.966
70.97	99.959
71.31	99.952
71.65	99.952
72.00	99.948
72.34	99.941
72.68	99.935
73.02	99.935
73.36	99.935
73.71	99.928
74.05	99.921
74.39	99.924
74.74	99.928
75.08	99.928
75.42	99.924
75.76	99.917
76.11	99.914
76.45	99.917
76.79	99.921
77.13	99.921
77.47	99.921
77.81	99.924
78.16	99.921
78.50	99.914
78.84	99.914
