Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\15%5mm.t6d

Temperature (°„C)	Weight % (%)
150.97	100.111
151.29	100.107
151.61	100.099
151.93	100.103
152.25	100.099
152.57	100.095
152.89	100.095
153.21	100.099
153.53	100.099
153.85	100.095
154.17	100.095
154.49	100.095
154.81	100.099
155.13	100.095
155.45	100.095
155.77	100.087
156.09	100.079
156.41	100.071
156.73	100.079
157.05	100.079
157.37	100.071
157.69	100.071
158.01	100.063
158.32	100.071
158.65	100.063
158.96	100.063
159.28	100.060
159.61	100.055
159.93	100.063
160.25	100.060
160.57	100.060
160.90	100.060
161.22	100.052
161.54	100.044
161.86	100.048
162.18	100.055
162.50	100.052
162.82	100.060
163.13	100.060
163.45	100.052
163.77	100.055
164.09	100.060
164.41	100.063
164.74	100.067
165.06	100.071
165.38	100.071
165.70	100.071
166.02	100.075
166.34	100.075
166.66	100.079
166.98	100.071
167.31	100.067
167.63	100.063
167.95	100.060
168.27	100.055
168.59	100.060
168.91	100.063
169.23	100.060
169.55	100.060
169.88	100.052
170.20	100.052
170.52	100.052
170.84	100.052
171.16	100.048
171.48	100.052
171.80	100.052
172.12	100.044
172.44	100.040
172.76	100.028
173.08	100.028
173.41	100.032
173.73	100.036
174.06	100.040
174.38	100.040
174.71	100.032
175.03	100.024
175.36	100.032
175.69	100.032
176.01	100.028
176.34	100.032
176.66	100.036
176.99	100.032
177.32	100.024
177.65	100.020
177.97	100.020
178.30	100.020
178.63	100.016
178.96	100.013
179.28	100.024
179.61	100.028
179.94	100.024
180.27	100.028
180.60	100.020
180.93	100.016
181.26	100.013
181.59	100.013
181.92	100.005
182.26	100.001
182.59	100.001
182.92	100.001
183.25	100.005
183.58	100.013
183.91	100.008
184.25	100.016
184.58	100.016
184.91	100.016
185.24	100.013
185.57	100.013
185.90	100.005
186.22	100.001
186.55	99.993
186.88	99.997
187.21	100.008
187.54	100.008
187.87	100.005
188.20	100.001
188.53	100.001
188.86	99.997
189.19	99.989
189.52	99.989
189.85	99.989
190.18	99.981
190.51	99.965
190.83	99.961
191.16	99.965
191.50	99.965
191.83	99.973
192.16	99.973
192.48	99.973
192.81	99.973
193.14	99.973
193.47	99.977
193.80	99.981
194.13	99.977
194.45	99.977
194.78	99.973
195.11	99.969
195.44	99.981
195.77	99.989
196.10	99.977
196.42	99.981
196.75	99.981
197.08	99.985
197.41	99.985
197.75	99.981
198.08	99.973
198.40	99.973
198.73	99.977
199.06	99.973
199.39	99.973
199.72	99.977
200.05	99.977
200.37	99.981
200.70	99.973
201.03	99.961
201.36	99.961
201.69	99.961
202.03	99.957
202.36	99.950
202.69	99.954
203.02	99.957
203.35	99.946
203.69	99.946
204.02	99.942
204.35	99.946
204.67	99.946
205.01	99.938
205.33	99.942
205.66	99.946
205.99	99.946
206.32	99.946
206.65	99.946
206.98	99.946
207.31	99.946
207.64	99.957
207.97	99.954
208.30	99.950
208.63	99.946
208.96	99.946
209.29	99.938
209.62	99.926
209.95	99.922
210.28	99.914
210.61	99.914
210.94	99.918
211.27	99.914
211.61	99.902
211.94	99.910
212.26	99.926
212.59	99.934
212.92	99.938
213.26	99.934
213.59	99.926
213.92	99.926
214.25	99.926
214.58	99.922
214.92	99.910
215.25	99.906
215.58	99.902
215.91	99.898
216.25	99.902
216.58	99.910
216.91	99.906
217.24	99.895
217.57	99.895
217.90	99.898
218.23	99.895
218.57	99.895
218.90	99.895
219.23	99.898
219.56	99.898
219.89	99.891
220.22	99.875
220.55	99.875
220.88	99.871
221.22	99.871
221.55	99.871
221.88	99.879
222.21	99.875
222.54	99.879
222.87	99.883
223.20	99.887
223.53	99.891
223.85	99.891
224.18	99.887
224.51	99.887
224.84	99.887
225.17	99.875
225.50	99.859
225.83	99.859
226.15	99.855
226.48	99.855
226.81	99.855
227.14	99.859
227.46	99.859
227.79	99.863
228.12	99.867
228.45	99.859
228.78	99.851
229.11	99.847
229.43	99.847
229.76	99.847
230.09	99.847
230.42	99.851
230.75	99.847
231.08	99.851
231.41	99.859
231.74	99.855
232.07	99.847
232.40	99.836
232.72	99.828
233.05	99.824
233.39	99.828
233.72	99.832
234.05	99.828
234.38	99.816
234.71	99.812
235.04	99.812
235.37	99.816
235.70	99.812
236.03	99.808
236.36	99.800
236.69	99.800
237.01	99.792
237.34	99.789
237.67	99.797
238.00	99.789
238.33	99.781
238.66	99.777
239.00	99.765
239.33	99.769
239.66	99.773
239.99	99.769
240.33	99.769
240.66	99.765
240.99	99.761
241.32	99.757
241.65	99.753
241.98	99.745
242.31	99.741
242.63	99.745
242.96	99.738
243.29	99.730
243.61	99.722
243.94	99.722
244.28	99.722
244.61	99.722
244.94	99.714
245.27	99.722
245.60	99.722
245.94	99.710
246.27	99.706
246.61	99.698
246.94	99.694
247.27	99.698
247.61	99.694
247.94	99.690
248.27	99.682
248.60	99.679
248.93	99.675
249.27	99.667
249.60	99.667
249.93	99.667
250.26	99.655
250.59	99.643
250.93	99.631
251.26	99.631
251.59	99.635
251.92	99.635
252.25	99.627
252.59	99.620
252.92	99.620
253.25	99.612
253.59	99.620
253.92	99.616
254.25	99.620
254.58	99.616
254.92	99.596
255.25	99.592
255.58	99.588
255.92	99.588
256.25	99.592
256.58	99.596
256.91	99.596
257.24	99.596
257.57	99.592
257.90	99.588
258.23	99.588
258.55	99.588
258.88	99.580
259.21	99.573
259.54	99.561
259.87	99.565
260.19	99.569
260.52	99.569
260.84	99.557
261.17	99.557
261.49	99.549
261.81	99.545
262.14	99.545
262.46	99.545
262.79	99.533
263.11	99.517
263.44	99.510
263.76	99.502
264.08	99.494
264.41	99.482
264.73	99.482
265.05	99.478
265.37	99.470
265.69	99.470
266.02	99.466
266.34	99.458
266.66	99.447
266.98	99.447
267.31	99.443
267.63	99.443
267.96	99.439
268.28	99.435
268.61	99.435
268.93	99.427
269.25	99.419
269.57	99.411
269.89	99.404
270.22	99.404
270.54	99.400
270.87	99.400
271.19	99.396
271.51	99.384
271.83	99.388
272.16	99.380
272.48	99.384
272.80	99.380
273.13	99.376
273.45	99.372
273.78	99.368
274.10	99.364
274.42	99.364
274.74	99.352
275.07	99.345
275.38	99.329
275.71	99.317
276.03	99.317
276.35	99.309
276.67	99.305
276.99	99.305
277.31	99.298
277.63	99.282
277.96	99.278
278.28	99.270
278.60	99.270
278.92	99.270
279.25	99.266
279.57	99.270
279.89	99.274
280.21	99.270
280.53	99.254
280.85	99.235
281.18	99.227
281.50	99.215
281.82	99.207
282.14	99.207
282.46	99.195
282.79	99.203
283.11	99.195
283.43	99.188
283.75	99.172
284.07	99.164
284.39	99.156
284.72	99.156
285.05	99.152
285.37	99.148
285.70	99.152
286.03	99.156
286.35	99.156
286.68	99.144
287.00	99.136
287.33	99.136
