Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\20%5mm.t6d

Temperature (°„C)	Weight % (%)
28.30	100.015
28.30	100.006
28.30	100.000
28.30	100.009
28.30	100.009
28.31	100.006
28.31	100.009
28.33	100.012
28.35	100.015
28.38	100.025
28.43	100.018
28.48	100.018
28.55	100.025
28.62	100.028
28.70	100.034
28.79	100.046
28.90	100.040
29.02	100.043
29.16	100.049
29.31	100.049
29.48	100.046
29.66	100.046
29.85	100.043
30.05	100.043
30.25	100.043
30.47	100.043
30.70	100.043
30.93	100.058
31.17	100.061
31.41	100.061
31.67	100.058
31.92	100.058
32.19	100.058
32.45	100.064
32.73	100.071
33.01	100.071
33.29	100.071
33.57	100.068
33.86	100.068
34.15	100.071
34.44	100.071
34.74	100.068
35.04	100.068
35.34	100.071
35.64	100.064
35.94	100.068
36.25	100.071
36.55	100.068
36.86	100.074
37.17	100.080
37.48	100.083
37.80	100.083
38.12	100.083
38.43	100.074
38.75	100.068
39.07	100.077
39.39	100.080
39.71	100.083
40.03	100.080
40.36	100.077
40.68	100.074
41.01	100.080
41.34	100.080
41.66	100.089
41.99	100.092
42.32	100.095
42.64	100.092
42.97	100.092
43.30	100.092
43.63	100.098
43.96	100.101
44.29	100.095
44.62	100.098
44.96	100.098
45.29	100.095
45.63	100.095
45.96	100.095
46.29	100.092
46.63	100.092
46.97	100.101
47.30	100.098
47.63	100.098
47.97	100.105
48.30	100.105
48.64	100.101
48.98	100.098
49.31	100.098
49.65	100.098
49.98	100.101
50.31	100.101
50.65	100.101
50.98	100.101
51.31	100.101
51.65	100.105
51.99	100.101
52.33	100.101
52.67	100.098
53.01	100.101
53.35	100.101
53.69	100.098
54.03	100.095
54.37	100.098
54.71	100.105
55.05	100.108
55.40	100.114
55.74	100.114
56.08	100.120
56.42	100.123
56.76	100.120
57.10	100.123
57.45	100.120
57.79	100.111
58.13	100.108
58.47	100.105
58.81	100.111
59.15	100.108
59.49	100.108
59.83	100.101
60.17	100.095
60.51	100.101
60.85	100.098
61.19	100.101
61.53	100.101
61.87	100.098
62.21	100.092
62.55	100.092
62.88	100.092
63.23	100.095
63.57	100.098
63.90	100.098
64.24	100.101
64.58	100.095
64.92	100.089
65.26	100.089
65.60	100.092
65.94	100.086
66.28	100.089
66.63	100.095
66.97	100.095
67.31	100.092
67.65	100.092
68.00	100.089
68.34	100.095
68.69	100.095
69.03	100.098
69.38	100.098
69.72	100.098
70.06	100.098
70.41	100.101
70.75	100.095
71.10	100.098
71.44	100.095
71.79	100.092
72.14	100.089
72.48	100.092
72.83	100.086
73.17	100.083
73.52	100.077
73.86	100.080
74.21	100.077
74.55	100.071
74.90	100.068
75.24	100.071
75.59	100.074
75.93	100.071
76.27	100.074
76.61	100.071
76.95	100.071
77.29	100.064
77.63	100.061
77.98	100.061
78.32	100.058
78.66	100.058
79.00	100.061
