Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\10%10mm.t6d

Temperature (°„C)	Weight % (%)
28.91	100.003
28.91	100.023
28.91	100.007
28.91	100.007
28.91	100.023
28.91	100.016
28.91	100.019
28.91	100.032
28.91	100.026
28.93	100.026
28.96	100.042
28.99	100.032
29.03	100.036
29.09	100.052
29.15	100.039
29.21	100.052
29.29	100.078
29.38	100.078
29.48	100.081
29.61	100.094
29.75	100.084
29.90	100.094
30.07	100.107
30.25	100.100
30.44	100.100
30.64	100.113
30.84	100.110
31.06	100.100
31.28	100.110
31.52	100.110
31.77	100.107
32.01	100.113
32.26	100.113
32.52	100.113
32.78	100.116
33.05	100.113
33.32	100.110
33.60	100.116
33.88	100.110
34.16	100.110
34.45	100.110
34.73	100.107
35.03	100.103
35.32	100.113
35.62	100.116
35.92	100.120
36.22	100.123
36.52	100.113
36.82	100.110
37.13	100.116
37.44	100.120
37.75	100.120
38.06	100.123
38.37	100.110
38.69	100.103
39.00	100.110
39.32	100.107
39.64	100.107
39.96	100.113
40.28	100.116
40.60	100.103
40.93	100.107
41.25	100.107
41.57	100.107
41.90	100.116
42.23	100.120
42.55	100.120
42.88	100.120
43.20	100.116
43.53	100.120
43.86	100.120
44.19	100.120
44.52	100.120
44.85	100.116
45.18	100.113
45.51	100.116
45.84	100.110
46.17	100.110
46.50	100.110
46.83	100.116
47.17	100.120
47.50	100.120
47.83	100.120
48.17	100.123
48.50	100.120
48.84	100.123
49.18	100.123
49.51	100.116
49.85	100.113
50.19	100.116
50.52	100.113
50.86	100.113
51.19	100.113
51.53	100.110
51.87	100.103
52.21	100.100
52.55	100.103
52.88	100.110
53.22	100.113
53.56	100.110
53.90	100.113
54.25	100.110
54.59	100.110
54.93	100.113
55.27	100.110
55.62	100.103
55.96	100.103
56.30	100.100
56.64	100.097
56.98	100.103
57.32	100.103
57.66	100.100
58.00	100.100
58.33	100.094
58.67	100.094
59.01	100.097
59.35	100.094
59.68	100.094
60.02	100.097
60.36	100.097
60.70	100.094
61.05	100.094
61.39	100.094
61.73	100.094
62.07	100.100
62.42	100.097
62.76	100.087
63.11	100.081
63.45	100.087
63.80	100.090
64.14	100.090
64.49	100.084
64.83	100.074
65.18	100.068
65.52	100.074
65.87	100.081
66.21	100.081
66.55	100.081
66.89	100.074
67.24	100.078
67.58	100.081
67.92	100.081
68.26	100.074
68.61	100.068
68.95	100.071
69.30	100.074
69.64	100.068
69.99	100.065
70.33	100.068
70.67	100.068
71.01	100.061
71.36	100.065
71.70	100.068
72.04	100.065
72.38	100.058
72.72	100.052
73.06	100.058
73.40	100.061
73.74	100.061
74.09	100.058
74.43	100.055
74.77	100.055
75.11	100.055
75.45	100.055
75.80	100.061
76.14	100.058
76.48	100.058
76.82	100.052
77.16	100.048
77.50	100.048
77.85	100.048
78.19	100.048
78.53	100.048
78.87	100.048
