Filename:	D:\TGAdata\ãÆÃÎÏé\ÌÆÐ¡¼ª\´¿PP.t6d

Temperature (¡ãC)	Weight % (%)
151.70	99.993
152.02	99.993
152.34	99.985
152.66	99.981
152.99	99.981
153.31	99.977
153.63	99.977
153.95	99.981
154.27	99.977
154.59	99.973
154.91	99.968
155.23	99.964
155.55	99.968
155.87	99.981
156.19	99.977
156.52	99.981
156.84	99.981
157.16	99.977
157.48	99.977
157.80	99.985
158.13	99.993
158.45	100.005
158.77	99.997
159.09	99.993
159.41	99.993
159.73	99.997
160.05	100.009
160.37	100.013
160.69	100.005
161.01	100.001
161.33	99.997
161.65	100.001
161.97	100.001
162.29	99.997
162.62	99.993
162.94	99.989
163.26	99.993
163.58	99.989
163.90	99.981
164.22	99.981
164.54	99.985
164.86	99.981
165.18	99.985
165.50	99.989
165.82	99.985
166.14	99.985
166.46	99.985
166.78	99.989
167.10	99.989
167.42	100.001
167.74	99.997
168.06	99.997
168.38	99.989
168.70	99.981
169.02	99.981
169.35	99.985
169.67	99.989
169.99	99.985
170.31	99.985
170.64	99.993
170.96	100.001
171.28	99.993
171.60	99.993
171.92	99.989
172.23	99.981
172.56	99.977
172.88	99.981
173.20	99.977
173.53	99.981
173.85	99.993
174.17	99.997
174.49	99.989
174.81	99.989
175.14	99.989
175.46	99.985
175.79	99.985
176.12	99.985
176.45	99.985
176.78	99.981
177.10	99.989
177.43	99.989
177.76	99.989
178.09	99.985
178.41	99.977
178.74	99.981
179.08	99.985
179.41	99.981
179.74	99.981
180.08	99.977
180.41	99.977
180.74	99.977
181.07	99.981
181.41	99.981
181.74	99.973
182.08	99.968
182.41	99.964
182.75	99.960
183.08	99.960
183.42	99.960
183.75	99.973
184.08	99.973
184.41	99.973
184.75	99.968
185.08	99.964
185.41	99.952
185.75	99.952
186.08	99.960
186.41	99.964
186.74	99.973
187.06	99.977
187.40	99.977
187.72	99.973
188.05	99.964
188.38	99.956
188.72	99.948
189.05	99.948
189.38	99.952
189.71	99.956
190.04	99.964
190.36	99.968
190.69	99.973
191.01	99.973
191.34	99.960
191.66	99.956
191.99	99.948
192.32	99.948
192.65	99.948
192.98	99.948
193.31	99.952
193.64	99.952
193.97	99.952
194.30	99.956
194.63	99.964
194.96	99.964
195.29	99.956
195.63	99.956
195.96	99.960
196.29	99.956
196.62	99.948
196.95	99.944
197.27	99.956
197.60	99.968
197.93	99.968
198.26	99.960
198.59	99.948
198.92	99.944
199.25	99.940
199.58	99.940
199.91	99.944
200.25	99.952
200.58	99.952
200.91	99.948
201.24	99.956
201.57	99.952
201.90	99.952
202.23	99.956
202.57	99.952
202.90	99.944
203.23	99.932
203.56	99.924
203.89	99.920
204.23	99.916
204.56	99.916
204.89	99.912
205.23	99.924
205.56	99.928
205.89	99.920
206.22	99.912
206.56	99.916
206.89	99.916
207.22	99.920
207.56	99.928
207.89	99.928
208.22	99.920
208.55	99.924
208.88	99.924
209.21	99.920
209.54	99.916
209.88	99.912
210.21	99.912
210.54	99.924
210.87	99.928
211.20	99.928
211.54	99.924
211.87	99.916
212.21	99.916
212.54	99.920
212.88	99.916
213.21	99.912
213.54	99.912
213.88	99.908
214.21	99.912
214.54	99.920
214.87	99.920
215.20	99.916
215.53	99.920
215.85	99.920
216.18	99.924
216.50	99.928
216.82	99.920
217.14	99.920
217.47	99.916
217.80	99.904
218.14	99.904
218.47	99.904
218.81	99.900
219.15	99.900
219.49	99.896
219.83	99.887
220.17	99.891
220.51	99.896
220.85	99.900
221.18	99.900
221.52	99.900
221.85	99.900
222.18	99.896
222.51	99.887
222.84	99.875
223.16	99.875
223.49	99.883
223.82	99.887
224.15	99.891
224.48	99.887
224.81	99.883
225.15	99.879
225.48	99.883
225.80	99.883
226.13	99.883
226.46	99.883
226.79	99.883
227.12	99.879
227.45	99.879
227.78	99.879
228.11	99.875
228.44	99.875
228.78	99.871
229.11	99.863
229.44	99.863
229.77	99.867
230.11	99.867
230.44	99.875
230.77	99.875
231.10	99.871
231.44	99.883
231.77	99.883
232.09	99.875
232.42	99.879
232.75	99.879
233.07	99.883
233.40	99.883
233.73	99.879
234.06	99.879
234.39	99.887
234.72	99.883
235.05	99.879
235.38	99.883
