Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\30%10mm.t6d

Temperature (°„C)	Weight % (%)
29.79	100.022
29.79	100.030
29.79	100.032
29.79	100.042
29.79	100.045
29.78	100.045
29.78	100.045
29.78	100.045
29.77	100.045
29.77	100.039
29.77	100.030
29.78	100.026
29.80	100.028
29.83	100.030
29.87	100.028
29.92	100.028
29.97	100.030
30.04	100.034
30.11	100.037
30.20	100.045
30.31	100.047
30.43	100.047
30.56	100.049
30.71	100.053
30.88	100.057
31.05	100.063
31.24	100.067
31.44	100.071
31.64	100.073
31.86	100.069
32.08	100.067
32.31	100.069
32.55	100.069
32.80	100.071
33.05	100.075
33.30	100.075
33.56	100.071
33.82	100.067
34.09	100.071
34.36	100.069
34.64	100.069
34.92	100.067
35.21	100.061
35.50	100.061
35.79	100.061
36.09	100.065
36.38	100.067
36.68	100.067
36.98	100.061
37.28	100.061
37.59	100.063
37.90	100.065
38.20	100.063
38.52	100.063
38.83	100.061
39.15	100.059
39.46	100.061
39.78	100.065
40.10	100.063
40.42	100.061
40.74	100.063
41.06	100.063
41.38	100.061
41.70	100.067
42.03	100.071
42.35	100.071
42.68	100.069
43.01	100.069
43.33	100.065
43.66	100.061
43.99	100.057
44.32	100.053
44.65	100.053
44.98	100.053
45.31	100.055
45.65	100.059
45.98	100.057
46.31	100.057
46.64	100.059
46.97	100.059
47.30	100.061
47.64	100.059
47.97	100.057
48.30	100.055
48.64	100.053
48.97	100.055
49.30	100.057
49.64	100.053
49.97	100.055
50.30	100.057
50.64	100.057
50.98	100.057
51.31	100.055
51.65	100.057
51.98	100.059
52.32	100.055
52.66	100.053
53.00	100.051
53.33	100.051
53.67	100.047
54.01	100.047
54.35	100.047
54.69	100.047
55.02	100.047
55.37	100.042
55.71	100.040
56.05	100.045
56.39	100.045
56.73	100.042
57.07	100.039
57.41	100.034
57.75	100.034
58.09	100.032
58.43	100.034
58.77	100.034
59.11	100.032
59.45	100.026
59.80	100.024
60.13	100.022
60.47	100.022
60.81	100.022
61.15	100.018
61.49	100.016
61.83	100.016
62.17	100.012
62.51	100.012
62.86	100.010
63.20	100.006
63.55	100.002
63.89	100.000
64.23	100.000
64.57	100.004
64.91	100.010
65.25	100.008
65.59	100.004
65.93	100.006
66.28	100.010
66.62	100.006
66.96	100.006
67.31	100.008
67.65	100.004
68.00	99.996
68.34	99.992
68.68	99.990
69.03	99.986
69.37	99.986
69.71	99.986
70.06	99.984
70.40	99.982
70.74	99.978
71.08	99.978
71.43	99.978
71.77	99.978
72.11	99.978
72.46	99.978
72.80	99.974
73.14	99.972
73.48	99.970
73.83	99.970
74.17	99.968
74.52	99.968
74.86	99.963
75.21	99.960
75.55	99.955
75.89	99.955
76.24	99.955
76.58	99.949
76.92	99.951
77.27	99.947
77.61	99.943
77.95	99.945
78.30	99.945
78.64	99.945
78.98	99.941
