Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\15%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
10.67	1.4901
10.67	1.4925
10.67	1.4792
10.68	1.4522
10.68	1.4154
10.68	1.3723
10.67	1.3267
10.68	1.2810
10.68	1.2362
10.68	1.1944
10.68	1.1555
10.69	1.1199
10.70	1.0878
10.70	1.0585
10.71	1.0324
10.71	1.0090
10.72	0.9881
10.74	0.9692
10.75	0.9521
10.75	0.9368
10.76	0.9226
10.78	0.9097
10.79	0.8978
10.80	0.8864
10.81	0.8759
10.83	0.8658
10.84	0.8564
10.85	0.8477
10.86	0.8395
10.87	0.8320
10.89	0.8255
10.91	0.8194
10.93	0.8139
10.94	0.8090
10.95	0.8049
10.96	0.8016
10.98	0.7988
10.99	0.7968
11.01	0.7955
11.02	0.7952
11.04	0.7959
11.05	0.7974
11.07	0.7998
11.08	0.8033
11.10	0.8076
11.11	0.8130
11.13	0.8192
11.14	0.8263
11.16	0.8346
11.18	0.8440
11.19	0.8539
11.21	0.8651
11.23	0.8768
11.24	0.8891
11.25	0.9028
11.27	0.9172
11.29	0.9322
11.30	0.9479
11.32	0.9642
11.33	0.9812
11.35	0.9992
11.37	1.0178
11.38	1.0367
11.40	1.0561
11.42	1.0760
11.43	1.0964
11.45	1.1171
11.46	1.1380
11.48	1.1595
11.50	1.1813
11.51	1.2034
11.53	1.2258
11.55	1.2486
11.56	1.2713
11.58	1.2938
11.59	1.3167
11.61	1.3397
11.62	1.3626
11.64	1.3854
11.66	1.4084
11.68	1.4313
11.70	1.4542
11.71	1.4768
11.73	1.4992
11.74	1.5216
11.76	1.5443
11.77	1.5662
11.79	1.5882
11.81	1.6102
11.83	1.6316
11.84	1.6534
11.86	1.6749
11.87	1.6959
11.89	1.7162
11.91	1.7369
11.93	1.7571
11.94	1.7774
11.95	1.7974
11.98	1.8170
11.99	1.8365
12.00	1.8556
12.02	1.8743
12.04	1.8929
12.05	1.9112
12.07	1.9290
12.08	1.9465
12.10	1.9638
12.12	1.9808
