Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
16.12	3.4545
16.13	3.4551
16.15	3.4557
16.17	3.4562
16.18	3.4568
16.20	3.4574
16.22	3.4579
16.23	3.4584
16.25	3.4589
16.26	3.4592
16.28	3.4601
16.30	3.4609
16.31	3.4618
16.33	3.4627
16.34	3.4633
16.36	3.4639
16.38	3.4644
16.40	3.4649
16.41	3.4656
16.43	3.4662
16.45	3.4668
16.47	3.4674
16.48	3.4680
16.50	3.4685
16.51	3.4691
16.53	3.4696
16.55	3.4700
16.56	3.4707
16.58	3.4711
16.59	3.4715
16.61	3.4722
16.63	3.4726
16.65	3.4733
16.67	3.4738
16.68	3.4744
16.70	3.4751
16.71	3.4756
16.73	3.4759
16.75	3.4763
16.76	3.4767
16.78	3.4772
16.80	3.4777
16.81	3.4782
16.83	3.4787
16.84	3.4790
16.86	3.4795
16.88	3.4798
16.89	3.4802
16.91	3.4806
16.93	3.4808
16.95	3.4814
16.96	3.4819
16.98	3.4825
17.00	3.4832
17.01	3.4839
17.03	3.4845
17.05	3.4851
17.06	3.4856
17.07	3.4862
17.09	3.4867
17.11	3.4872
17.13	3.4878
17.14	3.4882
17.16	3.4888
17.18	3.4890
17.20	3.4895
17.21	3.4900
17.23	3.4903
17.25	3.4908
17.26	3.4912
17.28	3.4917
17.30	3.4922
17.31	3.4926
17.32	3.4930
17.34	3.4935
17.36	3.4939
17.38	3.4942
17.40	3.4947
17.41	3.4952
17.43	3.4954
17.45	3.4959
17.46	3.4964
17.48	3.4969
17.49	3.4975
17.51	3.4982
17.53	3.4987
17.54	3.4995
17.56	3.5002
17.58	3.5007
17.59	3.5013
17.61	3.5020
17.63	3.5026
17.64	3.5031
17.66	3.5038
17.68	3.5044
17.70	3.5050
17.71	3.5055
17.73	3.5059
17.75	3.5065
17.76	3.5068
17.78	3.5074
17.80	3.5079
17.81	3.5084
17.83	3.5089
17.84	3.5095
17.85	3.5102
17.88	3.5108
17.89	3.5112
17.91	3.5118
17.92	3.5125
17.94	3.5132
17.96	3.5138
17.98	3.5146
17.99	3.5153
18.00	3.5160
18.02	3.5166
18.04	3.5170
18.05	3.5175
18.07	3.5179
18.09	3.5183
18.11	3.5188
18.13	3.5191
18.14	3.5197
18.16	3.5202
18.17	3.5208
18.19	3.5212
18.21	3.5216
18.23	3.5222
18.24	3.5229
18.25	3.5237
18.27	3.5243
18.29	3.5246
18.31	3.5252
18.32	3.5257
18.34	3.5264
18.36	3.5267
18.38	3.5272
18.39	3.5276
18.40	3.5278
18.42	3.5282
18.44	3.5287
18.46	3.5290
18.48	3.5295
18.49	3.5299
18.50	3.5301
18.52	3.5305
18.54	3.5309
18.55	3.5312
18.57	3.5316
18.59	3.5322
18.60	3.5327
18.62	3.5335
18.64	3.5341
18.65	3.5348
18.67	3.5354
18.69	3.5359
18.70	3.5364
18.72	3.5368
18.73	3.5372
18.75	3.5377
18.77	3.5381
18.78	3.5386
18.80	3.5389
18.82	3.5394
18.83	3.5399
18.85	3.5403
18.86	3.5406
18.88	3.5410
18.90	3.5412
18.92	3.5417
18.93	3.5422
18.95	3.5428
18.97	3.5435
18.98	3.5440
19.00	3.5445
19.02	3.5451
19.03	3.5457
19.05	3.5460
19.07	3.5465
19.08	3.5470
19.10	3.5475
19.12	3.5478
19.13	3.5483
19.15	3.5486
19.16	3.5490
19.18	3.5493
19.20	3.5497
19.22	3.5499
19.23	3.5502
19.25	3.5505
19.27	3.5508
19.28	3.5514
19.30	3.5516
19.32	3.5522
19.34	3.5528
19.35	3.5534
19.36	3.5540
19.38	3.5546
19.40	3.5550
19.42	3.5554
19.43	3.5560
19.45	3.5564
19.47	3.5569
19.48	3.5572
19.50	3.5576
19.51	3.5579
19.53	3.5583
19.55	3.5584
19.56	3.5586
19.58	3.5591
19.59	3.5592
19.61	3.5596
19.63	3.5601
19.65	3.5603
19.66	3.5607
19.68	3.5613
19.70	3.5618
19.71	3.5623
19.73	3.5629
19.75	3.5634
19.77	3.5640
19.78	3.5646
19.80	3.5650
19.81	3.5656
19.83	3.5661
19.84	3.5663
19.86	3.5668
19.88	3.5672
19.90	3.5674
19.91	3.5681
19.93	3.5684
19.95	3.5688
19.96	3.5693
19.98	3.5696
19.99	3.5699
20.01	3.5701
20.03	3.5705
20.04	3.5711
20.06	3.5715
20.08	3.5721
20.09	3.5727
20.11	3.5732
20.13	3.5737
20.15	3.5743
20.16	3.5747
20.17	3.5752
20.19	3.5755
20.21	3.5759
20.22	3.5764
20.24	3.5766
20.26	3.5772
20.28	3.5778
20.29	3.5781
20.31	3.5785
20.32	3.5789
20.34	3.5794
20.36	3.5800
20.38	3.5802
20.39	3.5805
20.41	3.5810
20.43	3.5817
20.44	3.5824
20.46	3.5830
20.47	3.5834
20.49	3.5838
20.50	3.5842
20.52	3.5846
20.54	3.5851
20.55	3.5854
20.57	3.5858
20.59	3.5862
20.60	3.5868
20.63	3.5872
20.64	3.5874
20.66	3.5878
20.68	3.5884
20.69	3.5886
20.70	3.5889
20.72	3.5891
20.74	3.5895
20.75	3.5899
20.77	3.5903
20.79	3.5907
20.80	3.5911
20.82	3.5919
20.83	3.5924
20.85	3.5929
20.88	3.5933
20.89	3.5938
20.90	3.5943
20.92	3.5947
20.94	3.5951
20.95	3.5955
20.97	3.5958
20.98	3.5962
21.00	3.5968
21.02	3.5970
21.03	3.5973
21.05	3.5976
21.07	3.5980
21.08	3.5983
21.10	3.5987
21.12	3.5992
21.14	3.5996
21.15	3.6004
21.17	3.6010
21.19	3.6016
21.20	3.6023
21.22	3.6030
21.24	3.6032
21.25	3.6036
21.27	3.6041
21.28	3.6044
21.30	3.6049
21.32	3.6053
21.33	3.6056
21.35	3.6060
21.37	3.6063
21.38	3.6069
21.40	3.6072
21.42	3.6076
21.43	3.6080
21.45	3.6084
21.47	3.6088
21.48	3.6092
21.50	3.6099
21.52	3.6106
21.53	3.6112
21.55	3.6119
21.57	3.6124
21.59	3.6130
21.59	3.6136
21.61	3.6141
21.63	3.6143
21.65	3.6148
21.66	3.6152
21.68	3.6155
21.70	3.6161
21.71	3.6162
21.73	3.6169
21.75	3.6174
21.76	3.6179
21.78	3.6184
21.80	3.6189
21.82	3.6194
21.83	3.6197
21.84	3.6200
21.86	3.6203
21.88	3.6209
21.90	3.6216
21.91	3.6223
21.93	3.6231
21.95	3.6238
21.96	3.6244
21.98	3.6249
22.00	3.6255
22.01	3.6259
22.03	3.6263
22.04	3.6267
22.06	3.6272
22.08	3.6275
22.09	3.6279
22.11	3.6283
22.12	3.6286
22.14	3.6290
22.16	3.6293
22.18	3.6295
22.20	3.6297
22.21	3.6302
22.23	3.6306
22.25	3.6312
22.26	3.6319
22.28	3.6325
22.29	3.6331
22.30	3.6338
22.32	3.6343
22.34	3.6349
22.37	3.6356
22.38	3.6359
22.39	3.6365
22.40	3.6370
22.42	3.6372
22.44	3.6375
22.46	3.6379
22.47	3.6383
22.48	3.6386
22.50	3.6392
22.52	3.6396
22.54	3.6401
22.56	3.6406
22.57	3.6407
22.59	3.6414
22.60	3.6422
22.62	3.6426
22.64	3.6434
22.66	3.6442
22.68	3.6447
22.69	3.6452
22.70	3.6459
22.72	3.6465
22.74	3.6471
22.75	3.6478
22.77	3.6480
22.79	3.6484
22.81	3.6489
22.82	3.6492
22.84	3.6495
22.85	3.6500
22.87	3.6504
22.88	3.6508
22.90	3.6513
22.92	3.6517
22.94	3.6523
22.95	3.6530
22.97	3.6534
22.99	3.6542
23.00	3.6549
23.02	3.6554
23.03	3.6561
23.05	3.6567
23.07	3.6572
23.09	3.6577
23.10	3.6582
23.12	3.6586
23.14	3.6591
23.15	3.6596
23.17	3.6599
23.19	3.6604
23.20	3.6607
23.22	3.6610
23.23	3.6613
23.25	3.6620
23.27	3.6624
23.29	3.6628
23.30	3.6633
23.32	3.6640
23.33	3.6644
23.35	3.6649
23.37	3.6657
23.39	3.6663
23.40	3.6669
23.42	3.6674
23.43	3.6678
23.45	3.6683
23.47	3.6686
23.48	3.6690
23.50	3.6693
23.52	3.6698
23.53	3.6702
23.55	3.6705
23.56	3.6708
23.58	3.6713
23.59	3.6717
23.62	3.6720
23.63	3.6725
23.65	3.6728
23.66	3.6733
23.68	3.6739
23.70	3.6745
23.72	3.6752
23.73	3.6758
23.75	3.6764
23.76	3.6770
23.78	3.6777
23.80	3.6781
23.81	3.6785
23.83	3.6790
23.84	3.6795
23.86	3.6798
23.88	3.6802
23.90	3.6806
23.92	3.6809
23.93	3.6813
23.95	3.6816
23.96	3.6819
23.98	3.6823
23.99	3.6825
24.00	3.6829
24.03	3.6835
24.04	3.6841
24.06	3.6849
24.08	3.6856
24.09	3.6859
24.11	3.6866
24.13	3.6872
24.14	3.6877
24.16	3.6882
24.18	3.6887
24.19	3.6890
24.21	3.6894
24.23	3.6898
24.24	3.6902
24.26	3.6907
24.28	3.6911
24.29	3.6914
24.31	3.6917
24.32	3.6922
24.34	3.6926
24.36	3.6929
24.38	3.6933
24.39	3.6939
24.41	3.6945
24.43	3.6954
