Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
15.73	3.1364
15.74	3.1367
15.75	3.1371
15.77	3.1375
15.79	3.1378
15.80	3.1382
15.83	3.1386
15.84	3.1389
15.85	3.1392
15.88	3.1396
15.89	3.1402
15.90	3.1407
15.92	3.1414
15.93	3.1419
15.95	3.1426
15.97	3.1431
15.98	3.1434
16.00	3.1439
16.02	3.1442
16.04	3.1446
16.05	3.1451
16.07	3.1455
16.09	3.1459
16.11	3.1463
16.12	3.1468
16.14	3.1471
16.15	3.1476
16.17	3.1481
16.19	3.1486
16.20	3.1490
16.22	3.1495
16.23	3.1498
16.25	3.1502
16.27	3.1506
16.29	3.1508
16.30	3.1516
16.32	3.1520
16.34	3.1525
16.35	3.1529
16.37	3.1534
16.39	3.1538
16.40	3.1542
16.43	3.1545
16.44	3.1550
16.45	3.1554
16.46	3.1558
16.48	3.1560
16.50	3.1566
16.52	3.1570
16.54	3.1574
16.55	3.1577
16.57	3.1583
16.59	3.1589
16.61	3.1594
16.62	3.1599
16.64	3.1605
16.65	3.1609
16.67	3.1612
16.69	3.1615
16.70	3.1619
16.73	3.1623
16.74	3.1628
16.76	3.1631
16.77	3.1635
16.79	3.1638
16.80	3.1643
16.82	3.1646
16.84	3.1648
16.85	3.1651
16.87	3.1656
16.89	3.1661
16.91	3.1665
16.92	3.1669
16.93	3.1673
16.95	3.1678
16.97	3.1683
16.99	3.1685
17.00	3.1689
17.02	3.1693
17.04	3.1698
17.06	3.1703
17.07	3.1707
17.09	3.1713
17.10	3.1720
17.12	3.1726
17.14	3.1732
17.15	3.1739
17.17	3.1745
17.19	3.1749
17.21	3.1755
17.23	3.1760
17.24	3.1766
17.25	3.1771
17.27	3.1776
17.28	3.1781
17.30	3.1784
17.32	3.1787
17.34	3.1790
17.35	3.1795
17.37	3.1799
17.39	3.1804
17.40	3.1809
17.42	3.1815
17.44	3.1818
17.45	3.1823
17.47	3.1829
17.49	3.1835
17.50	3.1842
17.52	3.1849
17.54	3.1856
17.55	3.1861
17.57	3.1866
17.59	3.1871
17.61	3.1877
17.62	3.1883
17.64	3.1888
17.65	3.1893
17.67	3.1899
17.69	3.1904
17.70	3.1909
17.72	3.1913
17.74	3.1916
17.75	3.1919
17.77	3.1924
17.78	3.1928
17.80	3.1934
17.82	3.1937
17.84	3.1944
17.86	3.1951
17.87	3.1957
17.89	3.1962
17.90	3.1969
17.92	3.1972
17.93	3.1976
17.95	3.1981
17.97	3.1985
17.99	3.1988
18.00	3.1991
18.02	3.1995
18.03	3.1997
18.05	3.2002
18.07	3.2007
18.08	3.2011
18.09	3.2015
18.12	3.2018
18.13	3.2024
18.15	3.2027
18.17	3.2028
18.18	3.2033
18.20	3.2038
18.22	3.2043
18.23	3.2049
18.25	3.2054
18.27	3.2058
18.29	3.2065
18.30	3.2068
18.32	3.2071
18.34	3.2074
18.35	3.2078
18.37	3.2081
18.38	3.2083
18.40	3.2087
18.42	3.2088
18.44	3.2091
18.45	3.2094
18.47	3.2096
18.48	3.2099
18.50	3.2101
18.52	3.2105
18.53	3.2109
18.55	3.2114
18.56	3.2120
18.58	3.2125
18.60	3.2131
18.62	3.2135
18.63	3.2138
18.65	3.2143
18.67	3.2147
18.69	3.2151
18.70	3.2154
18.72	3.2159
18.73	3.2162
18.75	3.2164
18.77	3.2168
18.78	3.2170
18.80	3.2173
18.82	3.2175
18.83	3.2178
18.85	3.2181
18.87	3.2184
18.89	3.2188
18.90	3.2191
18.92	3.2191
18.93	3.2195
18.95	3.2202
18.97	3.2207
18.98	3.2212
19.00	3.2216
19.02	3.2221
19.04	3.2225
19.05	3.2229
19.07	3.2233
19.08	3.2235
19.10	3.2238
19.12	3.2241
19.14	3.2242
19.15	3.2246
19.17	3.2247
19.18	3.2250
19.20	3.2253
19.22	3.2254
19.24	3.2257
19.25	3.2261
19.27	3.2262
19.29	3.2265
19.30	3.2270
19.31	3.2275
19.33	3.2279
19.35	3.2284
19.37	3.2287
19.38	3.2293
19.40	3.2298
19.42	3.2302
19.43	3.2307
19.45	3.2307
19.47	3.2308
19.48	3.2312
19.50	3.2315
19.51	3.2317
19.53	3.2321
19.55	3.2323
19.56	3.2327
19.58	3.2330
19.60	3.2332
19.62	3.2334
19.63	3.2335
19.65	3.2337
19.67	3.2342
19.69	3.2347
19.70	3.2352
19.72	3.2357
19.73	3.2363
19.75	3.2368
19.77	3.2373
19.78	3.2377
19.79	3.2381
19.81	3.2384
19.83	3.2389
19.85	3.2393
19.86	3.2395
19.88	3.2399
19.90	3.2403
19.91	3.2405
19.93	3.2406
19.95	3.2410
19.96	3.2412
19.98	3.2415
20.00	3.2419
20.01	3.2422
20.03	3.2428
20.05	3.2435
20.07	3.2441
20.08	3.2446
20.10	3.2453
20.11	3.2456
20.13	3.2461
20.15	3.2465
20.17	3.2469
20.18	3.2474
20.20	3.2478
20.21	3.2481
20.23	3.2487
20.25	3.2490
20.26	3.2492
20.28	3.2496
20.30	3.2499
20.31	3.2499
20.33	3.2502
20.34	3.2505
20.36	3.2507
20.38	3.2512
20.39	3.2518
20.41	3.2523
20.43	3.2531
20.45	3.2538
20.46	3.2544
20.48	3.2550
20.50	3.2555
20.51	3.2560
20.53	3.2563
20.54	3.2567
20.56	3.2570
20.58	3.2574
20.59	3.2577
20.61	3.2579
20.63	3.2582
20.65	3.2585
20.66	3.2589
20.68	3.2593
20.70	3.2595
20.71	3.2597
20.73	3.2599
20.75	3.2602
20.76	3.2605
20.78	3.2609
20.80	3.2617
20.81	3.2621
20.82	3.2628
20.84	3.2632
20.85	3.2636
20.88	3.2641
20.90	3.2652
20.91	3.2658
20.93	3.2655
20.94	3.2658
20.96	3.2660
20.98	3.2662
20.99	3.2667
21.01	3.2670
21.03	3.2672
21.05	3.2675
21.06	3.2679
21.07	3.2682
21.09	3.2684
21.11	3.2687
21.13	3.2692
21.15	3.2698
21.16	3.2704
21.18	3.2709
21.20	3.2713
21.21	3.2717
21.23	3.2723
21.24	3.2727
21.25	3.2732
21.28	3.2736
21.29	3.2740
21.31	3.2744
21.32	3.2749
21.34	3.2754
21.36	3.2757
21.38	3.2759
21.40	3.2763
21.41	3.2766
21.43	3.2769
21.44	3.2771
21.46	3.2775
21.48	3.2777
21.50	3.2782
21.51	3.2790
21.53	3.2795
21.54	3.2802
21.56	3.2808
21.57	3.2811
21.59	3.2817
21.61	3.2823
21.63	3.2828
21.64	3.2831
21.65	3.2833
21.67	3.2837
21.69	3.2840
21.71	3.2841
21.73	3.2845
21.74	3.2847
21.76	3.2849
21.78	3.2854
21.79	3.2856
21.80	3.2860
21.82	3.2864
21.84	3.2867
21.85	3.2870
21.87	3.2876
21.89	3.2882
21.91	3.2886
21.93	3.2892
21.94	3.2898
21.96	3.2902
21.98	3.2908
21.99	3.2915
22.00	3.2917
22.03	3.2922
22.04	3.2926
22.06	3.2929
22.07	3.2931
22.09	3.2936
22.10	3.2939
22.13	3.2944
22.14	3.2947
22.15	3.2949
22.17	3.2951
22.18	3.2955
22.20	3.2957
22.23	3.2963
22.24	3.2970
22.26	3.2974
22.27	3.2980
22.28	3.2984
22.30	3.2987
22.32	3.2992
22.34	3.2999
22.35	3.3004
22.37	3.3008
22.39	3.3014
22.40	3.3017
22.42	3.3020
22.44	3.3027
22.46	3.3030
22.48	3.3032
22.49	3.3035
22.50	3.3037
22.53	3.3041
22.54	3.3046
22.55	3.3048
22.57	3.3052
22.59	3.3057
22.60	3.3062
22.62	3.3068
22.63	3.3074
22.65	3.3077
22.68	3.3083
22.69	3.3088
22.71	3.3093
22.72	3.3099
22.74	3.3103
22.75	3.3104
22.78	3.3108
22.79	3.3113
22.80	3.3115
22.82	3.3120
22.84	3.3123
22.85	3.3125
22.87	3.3131
22.89	3.3133
22.90	3.3137
22.92	3.3140
22.93	3.3142
22.95	3.3148
22.97	3.3152
22.99	3.3158
23.00	3.3164
23.02	3.3169
23.03	3.3173
23.05	3.3178
23.07	3.3182
23.09	3.3184
23.10	3.3187
23.13	3.3192
23.14	3.3195
23.15	3.3199
23.17	3.3203
23.18	3.3206
23.20	3.3210
23.22	3.3214
23.24	3.3217
23.25	3.3220
23.27	3.3224
23.28	3.3227
23.30	3.3231
23.32	3.3237
23.34	3.3242
23.35	3.3247
23.37	3.3253
23.39	3.3258
23.40	3.3262
23.42	3.3268
23.44	3.3272
23.45	3.3275
23.47	3.3280
23.48	3.3283
23.50	3.3289
23.52	3.3291
23.54	3.3294
23.55	3.3298
23.57	3.3301
23.58	3.3303
23.60	3.3306
23.62	3.3311
23.63	3.3314
23.65	3.3316
23.67	3.3323
23.68	3.3329
23.70	3.3335
23.71	3.3341
23.73	3.3344
23.75	3.3350
23.77	3.3352
23.78	3.3358
23.78	3.3360
23.81	3.3364
23.83	3.3367
23.85	3.3370
23.87	3.3375
23.88	3.3379
23.90	3.3383
23.92	3.3385
23.93	3.3388
23.95	3.3391
23.97	3.3393
23.98	3.3398
24.00	3.3402
24.01	3.3405
24.03	3.3410
24.05	3.3414
24.07	3.3420
24.08	3.3425
24.10	3.3430
24.11	3.3434
24.13	3.3438
24.15	3.3442
24.17	3.3448
24.18	3.3451
24.19	3.3453
24.22	3.3458
24.24	3.3460
24.25	3.3465
24.27	3.3466
24.28	3.3469
