Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%10mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
10.19	-2.6403
10.19	-2.5805
10.20	-2.5396
10.19	-2.5148
10.20	-2.5010
10.20	-2.4938
10.20	-2.4891
10.21	-2.4843
10.21	-2.4771
10.21	-2.4668
10.22	-2.4532
10.22	-2.4360
10.23	-2.4152
10.24	-2.3915
10.25	-2.3659
10.25	-2.3386
10.26	-2.3104
10.27	-2.2819
10.28	-2.2535
10.29	-2.2265
10.30	-2.2006
10.32	-2.1763
10.33	-2.1542
10.35	-2.1344
10.36	-2.1165
10.37	-2.1009
10.39	-2.0878
10.40	-2.0766
10.42	-2.0677
10.43	-2.0604
10.44	-2.0546
10.45	-2.0501
10.48	-2.0468
10.50	-2.0446
10.51	-2.0433
10.52	-2.0425
10.53	-2.0420
10.55	-2.0418
10.57	-2.0415
10.58	-2.0407
10.60	-2.0397
10.62	-2.0380
10.63	-2.0354
10.65	-2.0320
10.66	-2.0277
10.68	-2.0221
10.69	-2.0154
10.71	-2.0074
10.73	-1.9979
10.75	-1.9873
10.76	-1.9749
10.77	-1.9612
10.79	-1.9461
10.80	-1.9296
10.82	-1.9116
10.83	-1.8924
10.85	-1.8715
10.87	-1.8494
10.89	-1.8258
10.90	-1.8008
10.92	-1.7748
10.93	-1.7474
10.95	-1.7189
10.97	-1.6893
10.99	-1.6586
11.00	-1.6271
11.02	-1.5945
11.03	-1.5609
11.05	-1.5266
11.07	-1.4917
11.08	-1.4558
11.10	-1.4190
11.11	-1.3814
11.13	-1.3432
11.15	-1.3046
11.16	-1.2651
11.18	-1.2252
11.19	-1.1854
11.21	-1.1452
11.23	-1.1047
11.25	-1.0639
11.26	-1.0227
11.28	-0.9816
11.29	-0.9403
11.31	-0.8990
11.33	-0.8574
11.35	-0.8159
11.37	-0.7740
11.38	-0.7322
11.40	-0.6907
11.41	-0.6493
11.43	-0.6081
11.44	-0.5668
11.46	-0.5256
11.48	-0.4844
11.50	-0.4435
11.51	-0.4025
