Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\30%10mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
10.12	0.3039
10.13	0.3542
10.13	0.3894
10.13	0.4111
10.13	0.4235
10.13	0.4303
10.13	0.4344
10.13	0.4384
10.13	0.4429
10.14	0.4498
10.14	0.4586
10.15	0.4696
10.16	0.4826
10.17	0.4973
10.18	0.5135
10.18	0.5307
10.19	0.5488
10.20	0.5669
10.21	0.5850
10.22	0.6028
10.23	0.6199
10.25	0.6361
10.26	0.6516
10.28	0.6660
10.29	0.6796
10.30	0.6923
10.32	0.7040
10.33	0.7152
10.35	0.7256
10.36	0.7354
10.37	0.7453
10.39	0.7550
10.40	0.7643
10.42	0.7739
10.43	0.7838
10.45	0.7940
10.46	0.8044
10.48	0.8152
10.50	0.8266
10.51	0.8391
10.53	0.8521
10.54	0.8660
10.56	0.8808
10.57	0.8965
10.59	0.9131
10.61	0.9305
10.62	0.9488
10.64	0.9682
10.65	0.9886
10.67	1.0101
10.68	1.0324
10.70	1.0554
10.72	1.0793
10.73	1.1038
10.75	1.1291
10.77	1.1552
10.78	1.1819
10.80	1.2092
10.82	1.2370
10.83	1.2652
10.85	1.2942
10.86	1.3234
10.88	1.3529
10.90	1.3828
10.91	1.4130
10.93	1.4433
10.94	1.4740
10.95	1.5048
10.98	1.5356
10.99	1.5666
11.01	1.5975
11.03	1.6285
11.05	1.6597
11.06	1.6904
11.08	1.7211
11.09	1.7517
11.10	1.7822
11.12	1.8123
11.14	1.8423
11.16	1.8719
11.18	1.9011
11.19	1.9299
11.21	1.9584
11.23	1.9867
11.24	2.0146
11.25	2.0421
11.28	2.0694
11.29	2.0963
11.30	2.1229
11.33	2.1489
11.34	2.1746
11.35	2.2000
11.37	2.2249
11.39	2.2496
11.41	2.2736
11.42	2.2971
11.44	2.3202
11.46	2.3428
11.48	2.3652
11.49	2.3869
11.50	2.4083
11.52	2.4292
11.54	2.4498
11.56	2.4698
11.58	2.4896
11.60	2.5088
11.60	2.5279
11.62	2.5465
