Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
15.38	2.7036
15.40	2.7155
15.41	2.7272
15.43	2.7387
15.45	2.7499
15.46	2.7607
15.48	2.7712
15.50	2.7818
15.51	2.7921
15.53	2.8020
15.55	2.8116
15.56	2.8211
15.58	2.8305
15.60	2.8396
15.61	2.8485
15.63	2.8571
15.65	2.8656
15.66	2.8741
15.68	2.8821
15.70	2.8901
15.71	2.8979
15.73	2.9053
15.75	2.9126
15.76	2.9194
15.78	2.9263
15.80	2.9330
15.81	2.9397
15.83	2.9464
15.85	2.9530
15.87	2.9595
15.88	2.9659
15.90	2.9723
15.91	2.9783
15.93	2.9839
15.95	2.9896
15.96	2.9950
15.98	3.0003
16.00	3.0056
16.01	3.0107
16.03	3.0156
16.05	3.0205
16.07	3.0252
16.08	3.0297
16.09	3.0341
16.11	3.0386
16.13	3.0427
16.15	3.0470
16.17	3.0513
16.18	3.0555
16.20	3.0596
16.21	3.0636
16.23	3.0672
16.25	3.0712
16.26	3.0747
16.28	3.0780
16.30	3.0814
16.31	3.0848
16.33	3.0881
16.35	3.0914
16.37	3.0948
16.38	3.0977
16.40	3.1010
16.42	3.1039
16.43	3.1067
16.45	3.1094
16.46	3.1121
16.48	3.1148
16.49	3.1175
16.51	3.1204
16.53	3.1232
16.54	3.1259
16.56	3.1285
16.58	3.1310
16.59	3.1335
16.61	3.1360
16.63	3.1383
16.65	3.1405
16.67	3.1428
16.68	3.1449
16.70	3.1471
16.71	3.1490
16.73	3.1508
16.75	3.1528
16.77	3.1550
16.78	3.1567
16.79	3.1583
16.81	3.1601
16.83	3.1618
16.84	3.1636
16.86	3.1653
16.88	3.1671
16.89	3.1687
16.91	3.1705
16.93	3.1719
16.95	3.1735
16.97	3.1753
16.98	3.1768
17.00	3.1783
17.01	3.1798
17.03	3.1813
17.05	3.1830
17.07	3.1846
17.08	3.1861
17.10	3.1876
17.12	3.1891
17.13	3.1903
17.15	3.1918
17.17	3.1932
17.18	3.1946
17.20	3.1959
17.21	3.1970
17.23	3.1981
17.25	3.1995
17.26	3.2006
17.28	3.2016
17.30	3.2027
17.32	3.2037
17.33	3.2049
17.34	3.2061
17.36	3.2074
17.38	3.2084
17.40	3.2098
17.42	3.2110
17.43	3.2121
17.45	3.2130
17.46	3.2139
17.48	3.2148
17.50	3.2159
17.51	3.2171
17.53	3.2181
17.54	3.2190
17.56	3.2199
17.58	3.2208
17.59	3.2218
17.61	3.2225
17.63	3.2233
17.65	3.2242
17.66	3.2250
17.68	3.2258
17.70	3.2266
17.71	3.2274
17.73	3.2284
17.75	3.2290
17.77	3.2298
17.78	3.2306
17.79	3.2316
17.81	3.2325
17.83	3.2334
17.84	3.2343
17.86	3.2350
17.88	3.2360
17.89	3.2370
17.91	3.2376
17.93	3.2383
17.95	3.2389
17.96	3.2396
17.98	3.2403
18.00	3.2409
18.01	3.2417
18.03	3.2423
18.05	3.2431
18.06	3.2436
18.07	3.2443
18.09	3.2449
18.11	3.2452
18.13	3.2457
18.15	3.2464
18.17	3.2473
18.18	3.2481
18.20	3.2487
18.21	3.2494
18.23	3.2501
18.25	3.2508
18.26	3.2515
18.28	3.2520
18.30	3.2525
18.31	3.2531
18.33	3.2536
18.34	3.2543
18.36	3.2547
18.38	3.2555
18.40	3.2560
18.41	3.2564
18.43	3.2567
18.45	3.2571
18.46	3.2576
18.48	3.2581
18.50	3.2587
18.51	3.2592
18.53	3.2600
18.55	3.2608
18.56	3.2612
18.58	3.2619
18.60	3.2626
18.61	3.2630
18.63	3.2634
18.65	3.2639
18.66	3.2643
18.68	3.2648
18.70	3.2651
18.72	3.2654
18.73	3.2658
18.75	3.2663
18.76	3.2665
18.78	3.2669
18.80	3.2674
18.82	3.2678
18.83	3.2684
18.84	3.2688
18.86	3.2692
18.88	3.2698
18.89	3.2704
18.91	3.2709
18.93	3.2714
18.94	3.2719
18.96	3.2724
18.98	3.2729
19.00	3.2732
19.01	3.2737
19.03	3.2741
19.04	3.2744
19.06	3.2750
19.08	3.2752
19.09	3.2755
19.11	3.2758
19.13	3.2762
19.15	3.2766
19.16	3.2770
19.18	3.2775
19.20	3.2778
19.21	3.2782
19.23	3.2786
19.24	3.2790
19.26	3.2794
19.28	3.2800
19.30	3.2805
19.32	3.2810
19.33	3.2814
19.34	3.2818
19.36	3.2825
19.38	3.2828
19.39	3.2831
19.40	3.2835
19.43	3.2838
19.44	3.2843
19.46	3.2845
19.48	3.2849
19.49	3.2854
19.51	3.2855
19.53	3.2858
19.54	3.2861
19.56	3.2865
19.57	3.2868
19.59	3.2869
19.61	3.2874
19.62	3.2880
19.64	3.2886
19.65	3.2892
19.68	3.2897
