Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\chunPP.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
15.45	3.2810
15.47	3.2825
15.49	3.2838
15.50	3.2849
15.52	3.2861
15.54	3.2874
15.55	3.2885
15.56	3.2897
15.58	3.2910
15.60	3.2919
15.62	3.2932
15.64	3.2942
15.65	3.2952
15.67	3.2962
15.68	3.2972
15.70	3.2983
15.72	3.2992
15.73	3.3002
15.75	3.3011
15.77	3.3019
15.78	3.3029
15.80	3.3040
15.82	3.3053
15.83	3.3063
15.85	3.3076
15.87	3.3087
15.89	3.3098
15.90	3.3107
15.92	3.3117
15.94	3.3127
15.95	3.3137
15.97	3.3146
15.98	3.3156
16.00	3.3165
16.02	3.3174
16.04	3.3180
16.05	3.3187
16.07	3.3194
16.09	3.3201
16.11	3.3207
16.12	3.3215
16.14	3.3223
16.15	3.3232
16.17	3.3241
16.19	3.3247
16.20	3.3255
16.22	3.3264
16.23	3.3273
16.25	3.3280
16.27	3.3289
16.29	3.3298
16.30	3.3305
16.32	3.3314
16.34	3.3322
16.36	3.3331
16.37	3.3339
16.38	3.3346
16.40	3.3352
16.42	3.3358
16.43	3.3365
16.45	3.3372
16.47	3.3380
16.49	3.3389
16.50	3.3398
16.52	3.3407
16.53	3.3416
16.55	3.3422
16.57	3.3429
16.58	3.3436
16.60	3.3444
16.63	3.3449
16.64	3.3456
16.66	3.3463
16.68	3.3470
16.69	3.3475
16.70	3.3479
16.72	3.3485
16.74	3.3491
16.75	3.3496
16.77	3.3500
16.79	3.3505
16.80	3.3512
16.82	3.3519
16.84	3.3524
16.85	3.3530
16.87	3.3537
16.89	3.3542
16.90	3.3547
16.92	3.3553
16.94	3.3559
16.95	3.3565
16.97	3.3572
16.98	3.3577
17.00	3.3585
17.02	3.3592
17.04	3.3602
17.05	3.3608
17.07	3.3617
17.09	3.3625
17.10	3.3630
17.12	3.3639
17.13	3.3645
17.15	3.3652
17.17	3.3658
17.19	3.3664
17.20	3.3670
17.22	3.3676
17.24	3.3680
17.25	3.3684
17.27	3.3690
17.28	3.3697
17.30	3.3702
17.32	3.3706
17.34	3.3712
17.35	3.3718
17.37	3.3724
17.38	3.3730
17.40	3.3738
17.42	3.3747
17.43	3.3754
17.45	3.3762
17.47	3.3771
17.48	3.3780
17.50	3.3788
17.52	3.3796
17.54	3.3802
17.56	3.3808
17.57	3.3814
17.59	3.3821
17.60	3.3826
17.62	3.3832
17.63	3.3837
17.65	3.3843
17.67	3.3851
17.69	3.3858
17.70	3.3866
17.72	3.3873
17.74	3.3881
17.75	3.3889
17.77	3.3899
17.79	3.3909
17.80	3.3919
17.82	3.3927
17.84	3.3933
17.85	3.3940
17.87	3.3947
17.88	3.3953
17.90	3.3958
17.92	3.3962
17.94	3.3967
17.95	3.3973
17.97	3.3978
17.99	3.3984
18.00	3.3989
18.02	3.3994
18.03	3.3997
18.05	3.4003
18.07	3.4006
18.08	3.4009
18.10	3.4013
18.12	3.4018
18.14	3.4023
18.15	3.4030
18.17	3.4037
18.19	3.4043
18.20	3.4049
18.23	3.4054
18.24	3.4060
18.25	3.4063
